Sexe DatEnt Dep SalEnt Sal01 Exp Anc
0 1985 CM 10374 42683 22 16
1 1974 CM 5866 52439 27 27
0 1998 PH 21529 31707 22 3
1 1980 SB 9976 62317 30 21
1 1989 CM 14633 60000 20 12
1 1985 CM 12399 54756 28 16
1 1997 IN 21588 41951 21 4
0 1991 CO 19248 49512 48 10
1 1994 PH 12954 42927 22 7
1 1980 IN 8149 49512 28 21
1 1997 CM 18753 35854 21 4
1 1982 MS 9538 53415 22 19
1 1994 MS 19767 44878 23 7
1 1974 MS 6509 60000 26 27
1 1994 CM 19954 36829 33 7
1 1979 IN 7621 57927 22 22
1 1980 SA 8142 55854 27 21
1 1979 CM 10871 57073 22 22
0 1980 CO 9215 52683 18 21
1 2001 SB 26630 29878 21 0
0 1995 SB 22772 41585 27 6
0 2001 MS 30574 36098 39 0
1 1974 MS 7036 62195 30 27
1 1974 PH 6384 58049 32 27
1 1980 IN 6404 55976 17 21
1 1973 CM 6201 62805 34 28
0 1988 CM 12890 44268 30 13
0 1997 MS 24502 33659 28 4
1 1977 PH 8388 57073 43 24
1 1976 CM 5998 58049 22 25
0 1980 CO 5880 52439 22 21
0 2000 PH 24903 35000 21 1
1 1979 CM 7446 53415 31 22
1 1976 SA 7384 59024 26 25
1 1973 MS 5006 58171 24 28
0 1973 IN 5579 65732 27 28
1 1985 CM 12504 48659 30 16
1 1973 SB 6210 57317 31 28
1 1995 PH 13633 33537 13 6
0 2002 CB 32448 31098 34 1
1 1979 PH 7052 51463 36 22
1 1973 CM 6336 56707 35 28
1 1986 IN 12960 50732 31 15
1 1980 CO 10673 50000 30 21
1 1977 SA 5975 56951 18 24
1 1979 IN 6338 50732 21 22
1 1976 CB 7398 55976 27 25
1 1979 CB 7866 52561 26 22
1 1980 PH 7514 45976 27 21
1 1997 PH 21970 42805 20 4
1 1973 SA 6490 60244 24 28
1 1976 MS 7101 58049 27 25
0 1980 SA 9574 50000 43 21
1 1986 PH 10742 49146 24 15
0 1982 SA 10212 51585 32 19
1 1980 CO 7939 52683 17 21
1 1974 CB 5534 57195 30 27
0 1976 IN 6432 63780 27 25
1 1973 IN 5223 58049 36 28
1 1976 CO 7387 57805 33 25
0 1976 CM 6076 53537 20 25
0 1974 CB 5620 55488 32 27
1 1973 SA 4174 57805 13 28
1 1976 SB 7002 62317 27 25
0 1983 SA 9010 51951 15 18
1 1971 IN 6154 58780 39 30
1 1973 SA 6076 56220 24 28
1 1976 SA 7437 52561 22 25
1 1994 PH 20711 36951 35 7
1 1980 SA 8896 51707 29 21
1 1971 SB 4850 62073 9 30
0 1997 PH 22019 34512 28 4
1 1973 SB 6292 58415 35 28
0 1971 PH 4964 62561 27 30
1 1973 IN 5965 61829 34 28
1 1976 IN 6922 52195 31 25
0 1979 SA 8678 55000 27 22
0 1977 CM 6251 54390 31 24
1 1973 MS 4929 58780 29 28
1 1971 MS 5139 58659 29 30
1 1970 IN 5749 58049 32 31
0 1977 IN 7701 54146 41 24
1 1973 MS 7033 64024 30 28
1 1979 SA 8695 52927 28 22
0 1970 PH 5395 62073 35 31
1 1980 SB 7338 48537 23 21
1 1976 SA 7693 54390 40 25
1 1971 SA 4582 65610 29 30
0 1977 CB 6087 50366 17 24
1 1977 IN 6863 50610 29 24
1 2000 PH 24403 35854 20 1
1 1976 MS 5024 51951 20 25
0 1979 PH 10508 51951 33 22
1 1986 CM 13340 50122 31 15
0 1970 IN 4625 57927 34 31
1 1974 CB 5107 53780 19 27
1 1973 SB 5203 64146 23 28
1 1977 CM 6218 54024 37 24
0 1973 CM 5779 53659 31 28
1 1971 SB 3889 62195 19 30
0 1976 SB 7475 52561 38 25
1 1971 CB 4380 56951 16 30
1 1976 SB 6444 53049 27 25
1 1974 IN 5254 54146 23 27
0 1973 MS 6611 53537 40 28
1 1973 IN 7199 58902 40 28
1 1973 CB 6217 56463 34 28
0 1974 PH 6531 54268 34 27
1 1976 CB 6458 56463 29 25
0 1973 SA 6534 54146 27 28
1 1976 PH 8037 53293 39 25
1 1974 SA 6855 62927 31 27
0 1976 CM 6693 53780 30 25
0 1971 CM 4945 57561 29 30
0 1977 CB 7019 52439 32 24
1 1974 CO 7414 55610 37 27
0 1980 SA 8317 47195 32 21
0 1979 CB 7705 48171 35 22
1 1979 IN 8349 49512 33 22
0 1985 CB 11896 44390 29 16
0 1973 MS 4446 52927 16 28
0 1977 IN 6600 50000 23 24
0 1994 MS 20700 36951 30 7
1 1977 CM 7935 51707 33 24
0 1974 SA 5495 54634 20 27
0 1989 MS 13234 40366 23 12
0 1979 CM 6986 47927 34 22
1 1973 CM 4905 62073 22 28
1 1973 IN 6142 54512 33 28
1 1974 CM 6853 53659 28 27
1 1976 CB 6583 53537 23 25
1 1992 CM 19864 38049 33 9
0 1988 MS 10186 40366 13 13
0 1992 CB 12141 40000 17 9
1 1973 SB 4327 55244 29 28
0 1977 CM 7453 48415 31 24
1 1970 SA 5208 66220 33 31
1 1970 IN 4725 57683 36 31
1 1983 SA 10960 46829 28 18
0 1980 SA 8973 48902 25 21
1 1977 IN 8433 51220 36 24
0 2000 MS 36319 30854 34 1
1 2000 PH 29092 30000 35 1
0 1983 CM 11003 43415 31 18
0 1980 IN 10078 48780 33 21
1 1976 SA 7599 52561 34 25
1 1985 IN 11953 42927 36 16
1 1995 CB 23186 33902 35 6
1 1982 CO 10923 49268 26 19
1 1977 IN 9143 48537 34 24
0 1985 SB 14494 44024 35 16
0 1992 PH 18108 35000 38 9
0 1976 CO 6733 51951 33 25
0 1994 PH 18678 39146 27 7
0 1986 CO 11595 41098 26 15
1 1994 PH 18721 38780 26 7
1 1971 IN 4892 53171 33 30
0 1985 CB 13729 42195 31 16
0 1989 PH 14216 34146 35 12
0 1991 CM 16654 35976 32 10
1 1974 SA 3734 54146 13 27
0 1994 PH 21067 36829 33 7
1 1994 CM 22173 34268 27 7
0 1985 CB 12784 45854 30 16
0 1985 CB 10666 45854 32 16
0 1986 PH 10143 38659 32 15
1 1995 SA 22340 32439 31 6
0 1997 PH 25542 27561 34 4
0 1986 SB 10534 38902 23 15
0 1998 SB 24682 29268 34 3
1 1994 PH 11487 32561 21 7
0 1989 SB 16182 39775 26 12
0 1992 PH 13209 36929 21 9
0 1991 PH 17020 38352 23 10
0 2001 SA 29673 28390 41 0
0 1971 PH 4680 56851 24 30
0 2000 MS 27451 29814 27 1
0 1992 MS 16125 36929 31 9
0 1985 CB 13346 44044 33 16
0 1989 MS 13196 39775 27 12
0 1974 IN 7149 54005 33 27
0 1997 CB 18673 32660 20 4
0 1988 SB 12819 41198 20 13
0 1983 PH 9358 45467 31 18
0 1995 CO 17522 34083 22 6
0 1977 SA 7781 51159 35 24
1 1994 PH 20335 35506 32 7
1 1979 CO 8709 49736 29 22
1 1977 SA 7049 51159 31 24
1 2001 IN 31643 28390 37 0
1 1983 SB 9908 45467 29 18
1 1997 MS 23829 32660 26 4
1 1983 CO 8048 45467 26 18
1 1973 MS 5947 55428 29 28
1 1988 IN 14989 41198 34 13
1 1977 SB 7536 51159 27 24
1 1985 CB 13096 44044 32 16
1 1971 SA 5815 56851 33 30
1 1979 IN 8017 49736 27 22
1 1998 CM 30052 31237 41 3
