No Id Sexe Fum Singe Astro Paume Lune Mort Pein Avort Parad Egl Rel Race
1 1 1 0 1 4 4 4 2 4 4 3 3 4 1
2 2 1 1 4 2 2 4 4 1 1 4 4 4 4
3 3 1 0 3 1 4 3 4 4 4 1 1 4 4
4 4 0 0 2 2 5 5 4 4 4 5 2 5 2
5 5 1 0 1 2 1 1 1 1 1 1 5 5 5
6 6 1 0 2 2 3 3 3 3 1 2 4 3 3
7 7 0 0 2 2 3 4 4 4 1 5 4 3 3
8 8 0 0 1 2 2 3 3 2 2 2 3 3 3
9 9 0 0 2 4 4 5 5 1 2 2 4 2 4
10 10 0 0 5 3 3 5 5 5 3 5 2 5 5
11 11 1 0 2 5 4 3 2 2 2 5 2 3 2
12 12 1 1 1 5 4 5 4 4 1 5 4 4 4
13 13 1 0 1 1 4 3 2 2 1 2 4 2 4
14 14 1 1 2 2 3 4 3 1 1 2 4 4 4
15 15 0 1 2 4 3 3 2 1 3 2 4 2 3
16 16 1 0 3 2 3 3 3 2 2 2 3 2 2
17 17 1 1 5 3 5 5 5 3 5 5 5 4 4
18 18 1 0 3 4 4 4 2 3 1 1 4 4 4
19 19 0 0 2 3 3 2 1 1 2 3 4 2 4
20 20 1 0 2 4 1 2 1 3 5 1 1 2 4
21 21 0 0 5 4 5 5 5 5 2 2 3 3 4
22 22 1 0 3 4 5 5 5 1 4 3 4 3 1
23 23 1 0 1 1 3 4 4 1 1 5 2 3 4
24 24 1 0 3 4 3 5 5 1 1 5 3 4 3
25 25 0 0 3 2 4 4 4 1 2 3 4 5 3
26 26 0 0 1 5 1 4 4 4 1 5 3 5 5
27 27 1 1 3 4 2 5 3 1 1 5 4 1 1
28 28 1 0 1 2 4 4 3 4 1 4 4 4 4
29 29 0 0 1 3 4 4 5 1 1 2 3 4 2
30 30 0 0 4 2 4 4 3 4 1 4 4 4 4
31 31 0 0 3 2 4 4 4 1 4 4 4 5 1
32 32 0 0 2 3 5 5 3 2 4 1 4 2 1
33 33 1 0 2 4 4 4 4 1 2 1 1 4 4
34 34 0 0 3 5 4 4 2 1 1 1 2 4 4
35 35 1 0 1 3 5 4 1 5 1 1 4 5 5
36 36 0 1 1 1 5 5 3 3 1 1 4 4 4
37 37 0 0 2 5 4 4 5 4 3 2 3 5 4
38 38 0 0 5 4 3 5 5 3 3 5 2 1 1
39 39 1 0 1 1 4 4 4 3 2 4 4 4 4
40 40 0 0 2 3 3 3 2 4 1 2 4 4 4
41 41 1 1 1 3 5 4 3 1 1 1 4 4 4
42 42 0 0 2 3 5 5 5 4 2 2 2 4 4
43 43 0 1 3 3 3 3 1 3 3 3 4 4 4
44 44 0 0 1 3 5 3 2 4 3 5 4 1 1
45 45 0 1 1 1 5 2 2 1 2 4 2 4 4
46 46 1 1 2 3 3 5 4 1 5 4 4 2 2
47 47 0 0 2 1 4 4 4 5 3 1 4 4 4
48 48 1 0 5 5 5 5 5 5 5 5 3 5 1
49 49 0 0 2 3 2 5 2 2 3 2 4 1 4
50 50 1 0 2 2 5 4 5 2 1 2 3 4 3
51 51 0 0 4 2 4 5 5 1 1 2 4 4 4
52 52 0 0 3 4 4 5 1 4 2 1 4 2 4
53 53 0 0 1 1 5 3 3 1 1 1 4 4 1
54 54 0 1 3 2 4 4 2 1 1 1 4 2 4
55 55 0 0 1 5 4 5 2 1 2 2 4 4 4
56 56 0 0 1 4 4 5 4 2 1 3 4 2 1
57 57 1 1 1 1 3 5 1 1 1 1 4 5 5
58 58 0 0 1 1 4 4 4 4 1 1 3 4 4
59 59 1 0 1 1 4 3 4 2 1 1 4 4 2
60 60 0 1 2 1 4 4 2 1 1 2 4 4 4
61 61 1 0 2 3 4 5 5 1 3 2 3 4 4
62 62 0 0 2 4 3 2 4 4 1 2 4 1 2
63 63 1 0 4 3 3 2 2 3 2 2 2 2 3
64 64 1 0 5 5 5 5 2 1 1 3 3 4 4
65 65 0 0 2 3 2 5 3 4 2 2 3 4 4
66 66 1 0 1 2 5 5 3 2 1 2 4 4 4
67 67 1 1 1 2 5 1 5 1 3 5 4 5 5
68 68 1 0 1 3 4 4 4 1 2 5 4 4 4
69 69 0 0 1 2 4 4 3 2 4 2 4 4 4
70 70 0 1 1 2 4 4 4 4 2 2 4 4 4
71 71 0 0 2 3 3 4 2 2 3 5 4 2 1
72 72 1 0 2 1 4 5 4 1 1 2 4 1 2
73 73 0 0 2 3 4 2 4 2 3 3 4 1 1
74 74 0 0 2 1 4 4 2 1 3 3 4 4 4
75 75 0 1 3 3 5 5 5 3 2 5 4 3 3
76 76 1 0 3 1 4 5 5 1 1 5 4 2 4
77 77 1 0 5 1 4 4 5 1 1 1 4 4 4
78 78 1 0 1 3 2 3 2 1 1 1 4 4 4
79 79 0 0 1 2 3 5 5 2 1 5 4 4 4
80 80 1 1 3 2 5 5 4 1 2 5 4 4 4
81 81 0 1 2 3 4 5 5 3 2 2 4 3 3
82 82 1 1 4 1 4 4 4 4 4 4 4 4 4
83 83 0 0 1 1 5 5 5 2 3 5 4 2 2
84 84 0 1 2 5 1 5 1 2 2 2 4 4 4
85 85 1 0 2 3 5 4 1 3 2 5 4 5 5
86 86 0 0 3 3 5 5 5 2 3 1 3 1 2
87 87 0 0 1 5 5 5 5 2 5 5 4 1 4
88 88 0 0 1 2 3 2 3 1 1 5 4 4 4
89 89 1 0 1 1 4 4 5 1 2 5 4 4 4
90 90 0 0 1 3 4 4 4 1 1 5 4 4 4
