Ville;RevIng;TaxIng;Heuring;Vacing;Revprof;Taxprof;Heurprof;Vacprof;Nour;Habits;Rest;Classe
Abu-Dhabi;43400;0;48;26;21400;0;35;75;393;1020;25;4
Amsterdam;41000;38;35;25;26300;33;34;55;332;710;28;3
Athènes;21800;29;40;23;13800;21;35;61;246;630;27;2
Auckland;26600;24;40;18;20300;20;39;65;288;1010;22;1
Bangkok;11100;11;43;10;5200;7;30;80;288;380;21;6
Barcelone;28900;23;40;30;19100;20;38;50;233;690;20;2
Berlin;43900;45;40;27;31900;40;38;59;287;490;25;2
Bogota;15800;14;45;15;3800;6;45;53;214;370;17;5
Bruxelles;52400;53;38;22;24000;41;34;88;295;790;21;3
Budapest;5100;40;41;25;2400;25;42;51;153;390;14;7
Buenos_Aires;35100;18;43;23;8000;17;27;34;286;660;29;5
Caracas;13000;9;40;30;7100;4;30;15;436;330;28;5
Chicago;56000;27;40;11;46200;25;30;26;454;1100;48;1
Copenhague;50600;50;39;26;33600;45;37;26;410;700;36;3
Dublin;37400;28;39;28;28400;21;35;84;314;530;37;2
Frankfurt;51700;47;39;30;36600;41;39;57;330;560;31;2
Genève;50100;31;40;20;59400;32;39;54;456;660;31;3
Helsinki;36600;40;38;27;24300;33;36;45;348;650;28;3
Hongkong;43800;14;43;13;29400;12;43;60;390;530;45;6
Houston;52900;29;40;10;39900;25;38;52;382;900;37;1
Istanboul;23900;32;40;13;5500;21;40;30;268;400;26;5
Jakarta;3800;16;40;13;900;2;28;40;236;280;17;5
Johannesbourg;30300;39;43;25;14000;26;30;48;208;390;18;4
Kuala_Lumpur;32600;38;40;21;4900;14;45;81;254;330;24;6
Lisbonne;30300;30;35;22;16300;23;40;22;250;440;15;2
Londres;37400;26;35;21;35800;26;43;66;303;660;44;2
Los_Angeles;63400;26;40;15;43100;24;38;15;457;620;40;1
Luxembourg;46300;20;40;25;44800;19;40;99;291;610;26;2
Madrid;28500;27;40;30;18400;22;39;60;238;550;21;2
Manama_(Bahrain);32750;8;44;24;14100;7;40;58;388;660;30;6
Manille;6300;17;43;23;4500;14;35;23;216;280;18;5
Mexico;12100;17;44;13;4900;8;33;46;268;620;24;5
Milan;33100;40;40;25;18500;32;24;32;322;620;29;2
Montréal;48000;42;37;21;35100;37;37;60;295;630;26;1
Moscou;1900;13;40;20;400;13;30;48;176;510;52;7
Mumbay_(Bombay);4700;19;41;30;1700;12;35;63;125;350;11;5
Nairobi;2900;14;48;28;1200;11;43;63;176;450;11;4
New__York;63100;31;40;17;54900;29;31;28;460;1190;49;1
Nicosie;33000;29;38;26;26700;21;33;50;253;380;17;2
Oslo;40900;38;37;21;29400;33;39;37;405;860;33;3
Panama;20100;19;46;25;6200;12;40;61;267;860;41;5
Paris;45800;31;38;25;20100;24;35;72;354;700;25;2
Rio_De_Janeiro;20700;24;40;25;4100;9;30;48;252;400;24;5
Santiago;23000;24;47;15;7800;18;48;48;219;450;21;5
SaoPaulo;21100;25;42;26;4300;9;30;40;241;310;26;5
Seoul;29000;28;51;23;25000;27;54;18;594;760;37;4
ChangHai;7000;26;40;15;2900;21;40;90;372;580;30;5
Singapore;31200;22;42;18;20000;21;50;21;442;690;32;6
Stockholm;41600;40;40;26;26000;31;40;54;370;730;37;3
Sydney;32600;33;38;20;27300;29;38;48;283;660;27;1
Taipei;25400;16;44;10;19700;16;44;38;487;1000;34;6
Tel-Aviv;31800;33;45;16;14100;12;40;55;340;470;26;6
Tokyo;58700;14;41;20;47900;13;43;20;797;1050;66;3
Toronto;37300;33;40;18;34700;33;43;30;299;850;30;1
Vienne;47500;39;38;25;24500;27;44;73;334;630;21;2
Varsovie;8400;49;42;26;3700;38;26;48;155;360;19;7
Zürich;64800;27;40;25;60800;27;46;65;486;780;31;3
