Code Nais Dec Mar MRC Reg P99 P00 P01 Strate
18065 11 8 2 18 12 1271 1306 1285 2
78075 7 1 3 78 15 772 782 789 1
59030 8 5 7 59 16 493 491 491 1
30090 9 3 3 30 5 988 996 975 2
3020 14 6 2 3 11 1432 1390 1362 2
35035 9 6 0 35 4 1342 1365 1380 2
35010 13 5 3 35 4 1478 1444 1433 2
21040 36 11 2 21 3 2858 2844 2888 4
94080 18 4 1 94 2 1088 1128 1101 2
93065 24 3 2 93 2 1937 2002 1995 3
85050 5 5 0 85 8 820 797 780 1
6045 7 6 1 6 11 711 714 715 1
19010 8 6 4 19 12 845 829 813 1
80020 7 2 0 80 7 693 684 705 1
32080 7 3 0 32 17 731 710 713 1
34045 17 12 1 34 3 1711 1709 1717 2
23015 0 1 0 23 3 241 197 186 1
29120 10 5 1 29 12 1025 1045 1039 2
46100 6 10 0 46 16 801 782 761 1
36040 51 17 6 37 4 5060 5055 5040 4
12080 14 2 3 12 1 1286 1319 1301 2
33085 6 3 1 33 12 799 824 800 1
13015 6 4 0 13 1 647 648 640 1
38055 9 3 0 38 17 554 559 548 1
96040 12 10 6 96 9 1624 1606 1602 2
8030 1 8 1 8 1 546 546 541 1
35015 7 8 2 35 4 1014 1014 994 2
53015 12 8 1 53 16 562 561 558 1
7065 2 0 0 7 1 359 350 331 1
6050 5 3 0 6 11 701 674 661 1
51065 22 15 6 51 4 2823 2828 2824 4
61040 31 12 7 61 14 3498 3473 3497 4
10030 36 11 1 10 1 2583 2646 2628 3
76015 1 1 0 76 15 2896 2907 2946 4
69070 20 24 4 69 16 2607 2622 2624 3
18070 1 1 0 18 12 171 172 169 1
12015 40 25 4 12 1 3426 3397 3435 4
12065 9 6 2 12 1 1157 1144 1139 2
92005 3 1 1 92 2 486 473 462 1
30005 9 0 0 30 5 745 719 717 1
51025 6 4 0 51 4 1337 1369 1346 2
52055 9 15 6 52 14 2091 2059 2034 3
34040 15 15 4 34 3 2638 2619 2607 3
68005 12 25 2 68 16 1542 1523 1518 2
28070 3 5 1 28 12 949 943 922 2
9010 4 1 1 9 1 339 329 326 1
39060 30 4 0 39 17 2388 2392 2455 3
11005 7 7 1 11 1 558 558 545 1
7090 5 4 1 7 1 411 412 404 1
75005 110 22 5 75 15 6820 7074 7157 4
62065 14 17 5 62 14 1971 1992 2016 3
68035 1 0 0 68 16 1311 1343 1345 2
17045 8 10 2 17 12 817 815 810 1
7105 4 4 1 7 1 461 463 453 1
62075 17 12 3 62 14 2006 2031 1982 3
19030 16 22 3 19 12 2250 2266 2232 3
53005 8 5 2 53 16 842 838 832 1
14055 5 2 1 14 1 481 475 478 1
42025 28 7 1 42 5 2503 2513 2529 3
52090 5 5 3 52 14 612 608 606 1
9030 13 13 1 9 1 811 800 782 1
55030 24 4 2 55 16 1525 1501 1529 2
14090 1 0 0 14 1 1918 1903 1870 2
56060 23 12 4 56 16 1972 1940 1946 3
77035 17 10 4 77 15 2592 2616 2696 3
53065 15 16 6 53 16 2774 2749 2730 4
39150 3 2 0 39 17 1396 1384 1384 2
18025 6 7 4 18 12 680 668 652 1
69065 16 5 2 69 16 1301 1316 1324 2
49085 16 4 1 49 17 712 688 707 1
38060 3 1 0 38 17 431 431 423 1
48020 3 3 3 48 16 813 792 769 1
68020 12 13 3 68 16 1589 1550 1598 2
49100 7 1 1 49 17 594 589 586 1
68045 16 9 1 68 16 1267 1251 1256 2
85015 11 3 3 85 8 742 715 713 1
33080 10 9 3 33 12 1317 1314 1312 2
52030 14 55 4 52 14 1489 1477 1462 2
39090 2 2 1 39 17 467 472 467 1
20010 6 7 3 20 3 896 909 923 1
9085 9 7 3 9 1 950 988 974 2
11030 3 6 2 11 1 450 440 433 1
37020 9 13 2 37 4 1032 1052 1030 2
52040 2 1 0 52 14 2490 2471 2466 3
14025 3 6 4 14 1 937 930 915 2
87070 8 1 3 87 8 419 413 407 1
26040 11 25 2 26 12 1176 1167 1171 2
7040 2 0 0 7 1 351 342 326 1
9020 2 2 1 9 1 356 357 360 1
71115 9 5 3 71 16 874 857 890 1
36010 10 14 5 51 4 1507 1502 1558 2
11035 1 4 1 11 1 324 328 314 1
17060 8 4 0 17 12 828 808 802 1
50095 2 1 0 50 17 313 308 311 1
9095 6 7 9 9 1 2869 2868 2846 4
54030 2 0 0 54 16 2348 2359 2367 3
63005 13 6 1 63 14 1212 1237 1256 2
31050 2 1 0 31 12 350 342 336 1
94030 2 0 5 94 2 422 408 416 1
28065 1 6 0 28 12 424 426 408 1
39105 4 2 1 39 17 420 422 424 1
38040 13 6 0 38 17 810 829 807 1
63030 32 11 6 63 14 1914 1917 1904 2
37080 32 11 9 51 4 3814 3803 3911 4
17050 17 14 1 49 17 1039 1088 1085 2
10075 5 2 2 10 1 470 471 458 1
51040 16 12 2 51 4 1489 1506 1467 2
13030 11 8 1 13 1 670 651 648 1
53025 23 12 1 53 16 2346 2362 2392 3
10070 21 14 3 10 1 1886 1858 1877 2
18015 11 18 2 18 12 1023 1012 1016 2
20005 3 3 4 20 3 509 500 511 1
6055 10 7 2 6 11 889 877 874 1
42020 20 5 2 42 5 2191 2205 2186 3
27065 9 5 2 27 12 1032 1047 1053 2
52085 35 42 6 52 14 2681 2642 2641 4
29015 7 0 0 29 12 574 567 568 1
60045 60 27 5 53 16 267 264 257 1
14045 3 1 1 14 1 296 290 291 1
34060 2 3 0 34 3 319 315 316 1
33035 23 4 3 33 12 1826 1854 1869 2
29020 1 1 0 29 12 117 117 117 1
16050 7 7 4 16 3 1220 1208 1180 2
75045 53 46 20 75 15 5938 6085 6069 4
29040 24 5 4 94 2 3886 3864 3840 4
52045 17 12 2 52 14 1943 1947 1942 3
46095 9 5 5 46 16 687 675 665 1
15005 6 8 3 15 3 617 613 599 1
68040 16 9 3 68 16 1650 1653 1616 2
20015 10 4 4 20 3 849 877 929 1
8010 3 1 0 8 1 231 225 222 1
21020 16 8 3 21 3 1521 1522 1517 2
49090 7 2 3 49 17 706 709 731 1
47040 11 8 6 47 16 1162 1173 1187 2
27040 11 8 1 27 12 4456 4431 4478 4
40005 2 0 0 40 5 238 233 234 1
14030 5 4 1 14 1 390 403 403 1
9070 1 4 0 9 1 553 521 527 1
31035 3 1 0 31 12 412 427 428 1
51045 6 8 2 51 4 1145 1121 1125 2
25005 52 20 5 26 12 4779 4847 4904 4
71105 152 32 14 71 16 12832 13348 13844 4
8065 3 1 0 8 1 393 388 382 1
19020 10 9 2 19 12 1214 1233 1231 2
7030 9 5 2 7 1 1151 1121 1136 2
63065 19 21 4 63 14 1848 1843 1797 2
39170 6 6 1 39 17 902 885 898 1
21015 0 0 1 21 3 4 4 4 1
49030 9 7 1 49 17 1249 1294 1324 2
49095 7 0 2 49 17 876 884 891 1
19025 12 7 3 19 12 1378 1379 1364 2
88040 11 2 1 88 8 611 613 595 1
13020 6 4 4 13 1 469 471 469 1
10025 2 1 0 10 1 319 322 320 1
29045 17 10 3 29 12 2645 2613 2604 4
11050 5 4 2 11 1 549 547 554 1
37045 27 13 3 37 4 2330 2295 2311 3
68050 30 17 8 68 16 2601 2604 2619 3
13065 10 16 4 13 1 1371 1353 1343 2
12020 12 4 0 12 1 910 906 906 1
7095 7 4 4 7 1 622 613 604 1
37040 17 25 2 37 4 1898 1891 1862 2
33030 11 3 1 33 12 1096 1079 1083 2
10015 11 5 1 10 1 1021 1013 1000 2
48050 8 3 3 48 16 914 876 877 2
19015 5 3 2 19 12 415 410 398 1
19045 1 8 3 19 12 806 817 814 1
52070 10 8 2 52 14 1108 1095 1088 2
9055 6 2 0 9 1 540 539 526 1
27035 19 8 4 27 12 1479 1477 1455 2
6015 12 6 2 17 12 392 395 395 1
14080 8 3 0 14 1 664 652 639 1
68025 18 13 2 68 16 1981 1998 1967 3
55015 21 12 10 55 16 2841 2812 2863 4
12035 4 3 0 12 1 378 376 370 1
56035 15 13 3 56 16 1927 1969 1966 3
19005 9 7 2 19 12 871 854 825 1
14060 13 9 0 14 1 965 980 966 2
49130 4 4 0 49 17 453 454 441 1
32050 2 2 0 32 17 492 479 491 1
18055 10 5 4 18 12 851 859 840 1
39020 3 0 4 39 17 479 491 473 1
29050 8 5 1 29 12 583 586 599 1
53020 13 8 0 53 16 1859 1856 1822 2
63035 47 29 11 63 14 4475 4495 4514 4
35045 4 4 1 35 4 303 302 307 1
17065 18 10 0 17 12 999 993 981 2
39145 10 3 2 39 17 743 757 765 1
39130 7 4 1 39 17 716 706 716 1
26010 12 8 1 26 12 958 955 952 2
77045 34 22 8 77 15 4535 4642 4792 4
51030 1 1 1 51 4 345 352 338 1
27070 4 0 1 27 12 280 269 265 1
